STATION,NAME,DATE,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/2/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/3/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/4/18,1.35,13.4
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/11/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/12/18,0.62,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/13/18,1.24,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/15/18,0,0.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/17/18,0.21,1.7
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/18/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/19/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/22/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/23/18,1.26,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/25/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/27/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/28/18,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/29/18,0,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/30/18,0.15,2.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1/31/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/1/18,0.04,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/2/18,0.25,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/3/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/4/18,0.29,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/5/18,0.36,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/7/18,0.65,2.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/10/18,0.16,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/11/18,0.69,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/12/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/13/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/15/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/16/18,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/17/18,0.17,1.9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/18/18,0.35,3.7
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/19/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/20/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/22/18,0.08,0.5
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/23/18,0.12,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/25/18,0.51,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/27/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",2/28/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/2/18,2.3,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/3/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/4/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/5/18,0.05,0.6
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/7/18,0.55,2.5
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/8/18,0.71,3.9
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/11/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/12/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/13/18,1.15,14.5
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/14/18,0.03,0.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/15/18,0.01,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/17/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/18/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/19/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/22/18,0.09,1.3
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/23/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/24/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/25/18,0.07,0.1
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/27/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/28/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/29/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/30/18,0.08,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",3/31/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/2/18,0.11,0.7
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/3/18,0.47,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/4/18,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/6/18,0.21,0.6
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/7/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/11/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/12/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/13/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",4/14/18,0,0
